fomula,perf
target ~ I(weatherVar7^5) + geodemVar8:geodemVar24 + geodemVar21,0.0314661687792018
target ~ I(weatherVar216^3) + var10:geodemVar20,0.0178052171950771
target ~ I(crimeVar4^3),-0.00840565556614832
target ~ var13:weatherVar103 + I(weatherVar10^2),0.0585058008212563
target ~ I(geodemVar36^3),0.0434869623819868
target ~ I(crimeVar4^4) + geodemVar33 + geodemVar28,0.0013845177841377
target ~ var10:geodemVar13 + I(weatherVar203^5) + I(weatherVar188^3),0.0614158948413924
target ~ I(weatherVar203^4),0.0185019535143685
target ~ I(weatherVar203^3) + geodemVar35 + I(weatherVar119^4),0.0517055461161107
target ~ I(weatherVar44^5) + weatherVar72 + geodemVar27,0.0530730566574464
target ~ geodemVar24:geodemVar26 + I(geodemVar32^5),0.0335911133305048
target ~ I(geodemVar6^2) + I(geodemVar6^3) + I(weatherVar43^3),0.0587376581336722
target ~ I(weatherVar7^4) + I(weatherVar203^2) + I(weatherVar188^5) + geodemVar34 + I(weatherVar194^2) + I(geodemVar16^5) + I(weatherVar44^4) + I(geodemVar36^2),0.0913467717465824
target ~ I(weatherVar43^4) + I(weatherVar150^3) + I(weatherVar77^3) + I(geodemVar32^4),0.0141386226081683
target ~ var10:geodemVar17,0.0237286133353093
target ~ weatherVar220 + geodemVar11:geodemVar24,0.030662337574225
target ~ I(geodemVar6^4),0.0282667245880915
target ~ I(geodemVar16^4) + weatherVar31,0.0875608684628804
target ~ var10:geodemVar8 + I(weatherVar191^3),0.0614988007682839
target ~ I(crimeVar4^2),-0.00886071869417244
target ~ I(crimeVar4^5) + var10:geodemVar26 + I(weatherVar43^5) + geodemVar36,0.00236267951505383
target ~ weatherVar137 + weatherVar236,-0.0233831508543316
target ~ var11:var16 + I(geodemVar16^3),-0.0423393976222037
target ~ I(weatherVar44^3) + I(geodemVar6^5),0.0434355777326553
target ~ geodemVar6 + I(weatherVar48^3) + I(weatherVar7^3),0.0386702082338165
target ~ I(var14^4) + weatherVar153 + I(weatherVar28^5) + I(weatherVar48^2) + var10:geodemVar11 + I(weatherVar43^2),-0.0202493770707803
target ~ I(geodemVar4^2) + I(weatherVar128^3),0.085938370975641
target ~ I(weatherVar23^5) + I(weatherVar127^4),0.0519414579890147
target ~ I(weatherVar28^4) + geodemVar29,0.0344358420744854
target ~ I(var12^5),-0.0277463716433518
target ~ I(weatherVar23^4) + I(weatherVar236^2) + I(weatherVar191^4) + geodemVar4 + I(geodemVar32^3),0.0902462153216996
target ~ I(weatherVar191^2),0.0406151302884667
target ~ I(weatherVar69^5),0.00860115618666943
target ~ I(weatherVar119^3) + I(weatherVar72^2) + weatherVar47:weatherVar235 + I(geodemVar16^2),0.0747726944603969
target ~ I(var12^4) + I(weatherVar48^4) + I(weatherVar38^3) + weatherVar108,-0.0218409687163379
target ~ weatherVar10,0.0516219101173804
target ~ weatherVar48 + I(weatherVar135^4) + I(weatherVar127^3),0.0636116865091708
target ~ I(weatherVar218^3) + I(weatherVar130^4) + geodemVar20:weatherVar47,0.0252917991714137
target ~ I(weatherVar95^2) + I(weatherVar28^3) + weatherVar194 + I(geodemVar4^3),0.0610334940425786
target ~ I(weatherVar23^3) + I(weatherVar38^2) + I(weatherVar101^5),0.0396564095538084
target ~ I(var12^3),-0.0274374553989685
target ~ I(weatherVar32^5),0.00820703014441144
target ~ I(weatherVar175^5) + I(weatherVar38^4),0.0138934598096545
target ~ I(weatherVar69^4),0.00958455099511036
target ~ I(weatherVar150^2),0.0163172566242586
target ~ geodemVar13:weatherVar47 + I(weatherVar101^4) + var11:geodemVar37 + I(weatherVar78^4) + I(weatherVar61^2) + geodemVar17:weatherVar47 + I(weatherVar44^2),0.0892539883943314
target ~ I(weatherVar91^4) + I(weatherVar71^5) + I(geodemVar37^4),0.0386494002084237
target ~ I(weatherVar50^5),0.0122704642984761
target ~ weatherVar81,-0.00906322704479178
target ~ geodemVar26:weatherVar47 + I(weatherVar127^5) + I(weatherVar93^3),0.0575657416352451
target ~ I(weatherVar35^2),0.0220354458415521
target ~ I(var12^2) + I(weatherVar93^4) + I(weatherVar48^5) + weatherVar24 + weatherVar173,-0.0187443025703843
target ~ geodemVar8:weatherVar47,0.0209223800505339
target ~ I(weatherVar175^4),0.00237258227119465
target ~ I(weatherVar7^2),0.0171843527420585
target ~ I(weatherVar218^4),0.00434062375352924
target ~ I(weatherVar96^5) + I(weatherVar80^3) + I(weatherVar141^5) + I(weatherVar141^4) + geodemVar16,0.0856347605522975
target ~ I(weatherVar96^4) + I(weatherVar32^4),-0.00505163044517385
target ~ I(weatherVar90^2) + weatherVar203,0.0210951121560718
target ~ I(weatherVar69^3) + I(weatherVar79^2) + I(weatherVar38^5) + geodemVar30,0.0435925877022636
target ~ I(crimeVar7^5) + crimeVar5,0.00744255363135119
target ~ I(weatherVar78^3),0.00605618802612005
target ~ I(var14^5),-0.0457238970635145
target ~ I(weatherVar91^3) + I(var17^5) + weatherVar38,0.0889143152879651
target ~ I(weatherVar50^4),-0.0259273139220195
target ~ I(weatherVar34^5) + crimeVar4,-0.0166387631491282
target ~ I(crimeVar7^4),-0.0126844036168292
target ~ I(weatherVar86^2),0.0379126574730133
target ~ I(weatherVar80^2),0.0218177438495332
target ~ I(weatherVar133^3) + I(weatherVar197^2) + weatherVar1,0.0575839320100752
target ~ I(weatherVar218^2) + I(geodemVar4^4) + geodemVar11:weatherVar47 + weatherVar217,0.0342158456352113
target ~ I(weatherVar141^3) + I(weatherVar72^3),0.0117467490897795
target ~ var16:weatherVar235,-0.0581642305155299
target ~ I(geodemVar32^2) + I(weatherVar167^5) + weatherVar172 + weatherVar35 + I(weatherVar191^5),0.0827136499848088
target ~ weatherVar47:weatherVar227,0.0176929996420364
target ~ var13:weatherVar118,0.00186574231134406
target ~ I(weatherVar101^3) + I(weatherVar175^3),-0.00435991271455127
target ~ weatherVar79 + I(weatherVar28^2),0.0364523561154809
target ~ I(weatherVar23^2) + I(weatherVar69^2),0.0280006419681626
target ~ I(weatherVar32^3),0.00788151958111518
target ~ I(weatherVar80^4) + weatherVar191 + I(weatherVar34^4) + var8:var15 + weatherVar135,0.0851143107386516
target ~ I(weatherVar51^5),0.0162307295623922
target ~ I(weatherVar220^2) + weatherVar211,0.0101327330790748
target ~ var16:geodemVar8,-0.0392549733882121
target ~ I(weatherVar154^5) + I(geodemVar1^2) + I(weatherVar51^4),0.0270886557119423
target ~ I(weatherVar197^3),0.036591293031809
target ~ var12 + I(weatherVar218^5),-0.0248208744182294
target ~ weatherVar130,0.0449972025052061
target ~ I(crimeVar7^3),-0.0135820809897502
target ~ weatherVar70 + I(weatherVar96^3) + I(crimeVar5^2),0.00871466109449718
target ~ I(weatherVar51^3) + geodemVar1,0.0259458741726789
target ~ weatherVar44 + I(weatherVar118^4),0.0227098816086029
target ~ weatherVar95 + I(weatherVar119^2),0.0383467983827501
target ~ I(weatherVar51^2) + geodemVar19 + I(weatherVar128^2),0.0664109060461079
target ~ I(weatherVar133^2) + I(weatherVar93^5),0.0329898868952919
target ~ weatherVar51,0.0146307934509251
target ~ weatherVar6 + weatherVar11 + I(weatherVar127^2) + I(geodemVar19^2),0.0993831660013229
target ~ weatherVar69 + I(geodemVar34^2),0.0393393228500548
