ID_St_Dept,ID_DS,Active,WMAE,P_WIN,PAR1
3_94,1,1,476.125646597429,11,NA
3_95,1,1,1144.93652268102,11,NA
3_96,1,1,376.132647990477,10,NA
3_97,1,1,59.3382755312512,1,1
3_98,1,1,20.3692992017212,2,NA
4_1,1,1,8898.47054357086,10,NA
4_2,1,1,5111.44625610032,1,1
4_3,1,1,5886.91839497109,2,NA
4_4,1,1,3153.87059694997,10,NA
4_5,1,1,11337.8675875845,11,NA
4_6,1,1,3493.87113675624,11,NA
4_7,1,1,21167.17563055,10,NA
4_8,1,1,2967.16178819447,10,NA
4_9,1,1,5045.27101376319,11,NA
4_10,1,1,3666.14247499646,11,NA
4_11,1,1,4124.73888580444,1,6
4_12,1,1,646.403289424999,10,NA
4_13,1,1,2759.22862819022,11,NA
4_14,1,1,4698.24368816666,10,NA
4_16,1,1,4299.90161221123,2,NA
4_17,1,1,1455.04210755833,10,NA
4_18,1,1,6861.03698521111,10,NA
4_19,1,1,358.748826761137,2,NA
4_20,1,1,831.900509215685,11,NA
4_21,1,1,806.000980745835,10,NA
4_22,1,1,3044.19764166806,10,NA
4_23,1,1,7092.55672000002,10,NA
4_24,1,1,3204.6802098,10,NA
4_25,1,1,1743.05812901352,11,NA
4_26,1,1,2430.58235491901,1,4
4_27,1,1,554.764667968056,10,NA
4_28,1,1,88.5075227763338,1,3
4_29,1,1,8597.63502169764,3,42950.3738060746
4_30,1,1,895.335543783334,10,NA
4_31,1,1,1527.83558344989,11,NA
4_32,1,1,5280.56688984582,10,NA
4_33,1,1,2782.0716272125,10,NA
4_34,1,1,3346.04736188055,10,NA
4_35,1,1,576.235326630566,11,NA
4_36,1,1,1474.50101223118,2,NA
4_37,1,1,570.136280983332,10,NA
4_38,1,1,5856.84203770833,10,NA
4_39,1,0,NA,NA,NA
4_40,1,1,4251.64144020587,2,NA
4_41,1,1,468.738157805646,11,NA
4_42,1,1,915.253000555199,11,NA
4_44,1,1,890.735103960819,11,NA
4_45,1,1,6.65821433987041,11,NA
4_46,1,1,5982.14385914584,10,NA
4_47,1,1,118.222222222222,14,NA
4_48,1,1,1369.88718490179,10,NA
4_49,1,1,1108.70073939583,10,NA
4_52,1,1,871.098272779169,10,NA
4_54,1,1,30.5209886555555,10,NA
4_55,1,1,3772.31058299861,10,NA
4_56,1,1,2110.97295322143,11,NA
4_58,1,1,1417.5996405466,2,NA
4_59,1,1,1077.35876310972,10,NA
4_60,1,1,74.9325154820972,2,NA
4_67,1,1,3836.746583275,10,NA
4_71,1,1,1599.59365274583,10,NA
4_72,1,1,26041.040711932,10,NA
4_74,1,1,2655.39430869106,11,NA
4_79,1,1,2801.2079145557,7,5
4_80,1,1,1724.43610126251,10,NA
4_81,1,1,1769.23378435833,10,NA
4_82,1,1,6806.59487494307,10,NA
4_83,1,1,878.708660883332,10,NA
4_85,1,1,484.768320256908,11,NA
4_87,1,1,1129.1035804104,11,NA
4_90,1,1,5433.84550756899,11,NA
4_91,1,1,1520.41280714232,2,NA
4_92,1,1,12966.0636323854,3,206798.01751408
4_93,1,1,6196.9225206316,1,1
4_94,1,1,5250.78301203198,1,2
4_95,1,1,6945.63545630417,10,NA
4_96,1,1,3271.10853640711,11,NA
4_97,1,1,2825.28825741109,11,NA
4_98,1,1,2621.46547090216,3,49371.8139522506
4_99,1,1,828.5387388662,11,NA
5_1,1,1,1013.98106690278,1,1
5_2,1,1,567.503464499993,10,NA
5_3,1,1,1469.17338081491,2,NA
5_4,1,1,504.299657358776,2,NA
5_5,1,1,1674.68121354217,4,NA
5_6,1,1,862.478692534101,1,5
5_7,1,1,1794.64772742821,3,15543.8540495523
5_8,1,1,619.676503801594,10,NA
5_9,1,1,2560.0558536872,11,NA
5_10,1,1,953.704553822959,1,3
5_11,1,1,676.384047735735,2,NA
5_12,1,1,210.562434555505,11,NA
5_13,1,1,527.929000086089,1,1
5_14,1,1,745.21398311003,3,211.016484191842
5_16,1,1,1663.17932968964,11,NA
5_17,1,1,427.746902946762,1,3
5_18,1,1,1502.89727066667,10,NA
5_19,1,1,18.9172516666667,10,NA
5_20,1,1,303.944169294568,1,9
5_21,1,1,138.831732055106,1,4
5_22,1,1,703.628202757611,3,3102.413690433
5_23,1,1,965.591318178702,11,NA
5_24,1,1,500.401574207857,1,1
5_25,1,1,555.802905425902,10,NA
5_26,1,1,303.120780883209,2,NA
5_27,1,1,78.9571091326222,1,1
5_28,1,1,23.5998205587302,10,NA
5_29,1,1,163.43894102305,2,NA
5_30,1,1,122.361528630159,10,NA
