ID_St_Dept,ID_DS,Active,WMAE,P_WIN,PAR1
2_28,1,1,119.32591956,10,NA
2_29,2,1,1090.5210797794,2,NA
2_30,1,1,473.60137025119,11,NA
2_31,2,1,960.620115507743,11,NA
2_32,2,1,2915.7621899227,2,NA
2_33,1,1,2209.27662909917,10,NA
2_34,1,1,2286.86963512995,11,NA
2_35,1,1,585.253883101853,10,NA
2_36,1,1,991.913308744847,11,NA
2_37,1,1,380.526504942735,11,NA
2_38,1,1,5981.75564151546,11,NA
2_40,1,1,3059.53730636249,10,NA
2_41,1,1,806.107316066666,10,NA
2_42,1,1,544.987557171295,10,NA
2_44,1,1,900.214268393709,11,NA
2_45,1,1,9.15797326666666,10,NA
2_46,2,1,2927.03945056363,10,NA
2_47,2,1,421.377113115314,2,NA
2_48,2,1,776.51709270203,1,2
2_49,1,1,1809.52115028017,11,NA
2_52,2,1,665.060325417063,10,NA
2_54,1,1,31.8157812510977,1,1
2_55,1,1,3484.54118259167,10,NA
2_56,1,1,1512.29747915262,2,NA
2_58,2,1,4437.20971668644,10,NA
2_59,1,1,1065.25913068858,11,NA
2_60,2,1,47.8882446276609,4,NA
2_67,1,1,3334.64133120576,2,NA
2_71,1,1,1002.26614084415,11,NA
2_72,1,1,23585.2294986701,3,128134.301770676
2_74,1,1,1869.51911638291,2,NA
2_77,1,1,613.5,14,NA
2_79,1,1,3360.74362465353,10,NA
2_80,2,1,1344.30452713437,1,1
2_81,1,1,1307.29208484462,1,1
2_82,2,1,3972.46624370765,11,NA
2_83,1,1,575.035312213516,11,NA
2_85,2,1,549.551658715658,11,NA
2_87,1,1,2653.20240955711,11,NA
2_90,2,1,6157.17510266562,3,1878.38260750793
2_91,2,1,5142.62628348212,7,2
2_92,2,1,12950.6258415808,3,984.327851330709
2_93,2,1,6279.60943809784,3,2402.36684049735
2_94,2,1,5019.6325768028,7,4
2_95,2,1,6840.13685361912,2,NA
2_96,2,1,2703.04816081385,11,NA
2_97,2,1,2718.03459606099,1,2
2_98,2,1,1735.31583753639,10,NA
2_99,2,1,579.744236153253,1,1
3_1,1,1,1290.92873410519,10,NA
3_2,1,1,644.022992805966,11,NA
3_3,2,1,1151.82503177264,11,NA
3_4,1,1,412.440927589526,3,943.901797681448
3_5,1,1,1826.72583325742,2,NA
3_6,1,1,487.629206838735,1,1
3_7,1,1,1892.00533665079,10,NA
3_8,1,1,416.122822409524,10,NA
3_9,1,1,1294.88438606729,11,NA
3_10,2,1,830.276921888139,2,NA
3_11,2,1,1785.07063648791,11,NA
3_12,2,1,306.94428223412,10,NA
3_13,1,1,625.942426784636,1,2
3_14,1,1,394.964057725124,1,1
3_16,2,1,1664.27334844131,11,NA
3_17,1,1,309.533128924887,11,NA
3_18,1,1,1983.4945992698,11,NA
3_19,1,1,121.285991647679,1,1
3_20,1,1,283.993994566039,11,NA
3_21,1,1,123.153331590835,1,3
3_22,1,1,504.90495349365,10,NA
3_23,1,1,1549.90662131746,10,NA
3_24,1,1,702.26698195681,11,NA
3_25,1,1,478.664752328966,11,NA
3_26,1,1,397.143588238113,11,NA
3_27,1,1,67.1949258343907,1,2
3_28,1,1,38.4075951690474,1,2
3_29,1,1,189.466386068753,11,NA
3_30,2,1,187.850425454079,11,NA
3_31,2,1,235.553632720157,11,NA
3_32,2,1,1462.68474995031,10,NA
3_33,1,1,662.660217075494,11,NA
3_34,1,1,707.942296562466,11,NA
3_35,1,1,268.959246482214,11,NA
3_36,1,1,222.659451708699,11,NA
3_38,1,1,7931.87328469048,10,NA
3_40,2,1,1029.4385979763,1,3
3_41,1,1,159.852483138177,2,NA
3_42,2,1,804.193246521768,1,1
3_44,1,1,257.882763983986,3,165.261642109506
3_46,1,1,751.966500596825,10,NA
3_47,NA,0,NA,NA,NA
3_49,2,1,7.63011803640677,2,NA
3_52,1,1,103.544801742028,3,237.090940964071
3_54,1,1,24.4166125111111,10,NA
3_55,1,1,1552.90257556825,10,NA
3_56,1,1,606.05647265923,2,NA
3_59,1,1,79.5849345071428,10,NA
3_60,2,1,27.1791760829484,2,NA
3_67,1,1,470.731899912699,10,NA
3_71,2,1,337.698714376492,10,NA
3_72,1,1,3880.62286266109,2,NA
3_74,1,1,551.464914267876,1,1
3_79,2,1,578.208374297592,7,3
3_80,2,1,20.5297060627852,1,2
3_81,1,1,97.6576044662042,3,83.6180752971726
3_82,2,1,660.921856854523,11,NA
3_85,2,1,173.221255306079,11,NA
3_87,2,1,233.739094013737,10,NA
3_90,1,1,73.846833155555,10,NA
3_91,2,1,60.4857055056359,11,NA
3_92,1,1,361.866298558232,2,NA
3_94,1,1,476.125646597429,11,NA
3_95,2,1,959.574787591097,11,NA
3_96,1,1,376.132647990477,10,NA
3_97,1,1,59.3382755312512,1,1
3_98,2,1,18.013591595719,10,NA
4_1,1,1,8898.47054357086,10,NA
4_2,2,1,4425.45604849606,1,1
4_3,2,1,4412.3886151762,11,NA
4_4,2,1,2782.15906316879,1,1
4_5,2,1,10358.5020887639,10,NA
4_6,2,1,2709.07083310592,2,NA
4_7,2,1,16473.6920201218,11,NA
4_8,2,1,2210.49158254438,4,NA
4_9,1,1,5045.27101376319,11,NA
4_10,2,1,3182.739906598,10,NA
4_11,1,1,4124.73888580444,1,6
4_12,1,1,646.403289424999,10,NA
4_13,1,1,2759.22862819022,11,NA
4_14,1,1,4698.24368816666,10,NA
4_16,2,1,4095.69508414026,11,NA
4_17,1,1,1455.04210755833,10,NA
4_18,1,1,6861.03698521111,10,NA
4_19,1,1,358.748826761137,2,NA
4_20,1,1,831.900509215685,11,NA
4_21,2,1,772.697616219077,10,NA
4_22,2,1,2570.54021346391,10,NA
4_23,2,1,6227.86671480891,10,NA
4_24,2,1,2790.54153444118,10,NA
4_25,1,1,1743.05812901352,11,NA
4_26,1,1,2430.58235491901,1,4
4_27,2,1,410.255303284544,11,NA
4_28,1,1,88.5075227763338,1,3
4_29,2,1,1476.53211261717,10,NA
4_30,2,1,772.192123338883,11,NA
4_31,2,1,1042.14233125093,11,NA
4_32,2,1,3841.46196083798,10,NA
4_33,1,1,2782.0716272125,10,NA
4_34,2,1,3201.71497522812,2,NA
4_35,1,1,576.235326630566,11,NA
4_36,2,1,1313.92162061708,11,NA
4_37,2,1,454.408409503472,11,NA
4_38,1,1,5856.84203770833,10,NA
4_39,NA,0,NA,NA,NA
4_40,2,1,3502.90475814287,10,NA
4_41,2,1,366.719298878514,11,NA
4_42,2,1,724.327417196275,11,NA
4_44,2,1,780.67485054358,11,NA
4_45,2,1,0,2,NA
4_46,2,1,3420.78959031203,11,NA
4_47,2,1,0,2,NA
4_48,2,1,1041.48128766636,10,NA
4_49,1,1,1108.70073939583,10,NA
4_52,2,1,771.207236706896,2,NA
4_54,1,1,30.5209886555555,10,NA
4_55,1,1,3772.31058299861,10,NA
4_56,2,1,1969.94464588795,11,NA
4_58,1,1,1417.5996405466,2,NA
4_59,2,1,835.525284492346,11,NA
4_60,1,1,74.9325154820972,2,NA
4_67,2,1,3372.06109232345,11,NA
4_71,2,1,1316.20182691091,10,NA
4_72,1,1,26041.040711932,10,NA
4_74,2,1,2231.05522296103,10,NA
4_79,1,1,2801.2079145557,7,5
4_80,2,1,1441.67878971971,10,NA
4_81,2,1,1413.8861534426,1,2
4_82,2,1,3599.53815423069,11,NA
4_83,1,1,878.708660883332,10,NA
4_85,2,1,428.141442637767,11,NA
4_87,1,1,1129.1035804104,11,NA
4_90,2,1,5161.75116461326,10,NA
4_91,1,1,1520.41280714232,2,NA
4_92,2,1,11948.5967341038,3,2162.41511884978
4_93,2,1,4931.62452217128,1,2
4_94,2,1,4338.20364776641,10,NA
4_95,2,1,6473.27773736871,1,2
4_96,2,1,3184.75380852997,11,NA
4_97,2,1,2536.94219905251,7,2
4_98,2,1,2612.25167178203,10,NA
4_99,2,1,789.843110528743,7,1
5_1,1,1,1013.98106690278,1,1
5_2,1,1,567.503464499993,10,NA
5_3,2,1,934.319080599883,11,NA
5_4,2,1,491.226454015841,10,NA
5_5,1,1,1674.68121354217,4,NA
5_6,2,1,838.477358084546,11,NA
5_7,1,1,1794.64772742821,3,15543.8540495523
5_8,2,1,582.481772265828,7,2
5_9,2,1,1653.3457942953,11,NA
5_10,2,1,802.483454255996,11,NA
5_11,1,1,676.384047735735,2,NA
5_12,1,1,210.562434555505,11,NA
5_13,2,1,516.805491047863,2,NA
5_14,1,1,745.21398311003,3,211.016484191842
5_16,2,1,1499.8127837725,11,NA
5_17,2,1,401.192183961777,10,NA
5_18,2,1,1371.83947127127,11,NA
5_19,1,1,18.9172516666667,10,NA
5_20,1,1,303.944169294568,1,9
5_21,1,1,138.831732055106,1,4
5_22,2,1,604.920939734453,10,NA
5_23,1,1,965.591318178702,11,NA
5_24,2,1,497.535507744888,1,3
5_25,2,1,394.907697555809,11,NA
5_26,1,1,303.120780883209,2,NA
5_27,1,1,78.9571091326222,1,1
5_28,1,1,23.5998205587302,10,NA
5_29,1,1,163.43894102305,2,NA
5_30,1,1,122.361528630159,10,NA
5_31,2,1,174.368539189789,11,NA
5_32,2,1,613.620745583377,11,NA
5_33,2,1,173.190069457046,2,NA
5_34,1,1,554.416756255412,1,1
5_35,1,1,204.672689710854,2,NA
5_36,1,1,171.882434511193,2,NA
5_38,2,1,5947.93054882493,1,1
5_40,1,1,741.73385489951,1,2
5_41,1,1,75.8095619969389,2,NA
5_42,1,1,264.586008333888,11,NA
5_44,1,1,259.142028918202,2,NA
5_45,2,1,9.46737652181198,2,NA
5_46,2,1,557.520684209643,11,NA
5_47,2,1,77.0715691666667,10,NA
5_49,1,1,12.2060023712451,1,2
5_52,1,1,151.476918172476,11,NA
5_54,1,1,11.591951326603,1,4
5_55,1,1,748.29555879596,3,3970.51962226811
5_56,2,1,446.620923171826,11,NA
5_58,1,1,346.447413492064,10,NA
5_59,2,1,60.5102900557411,11,NA
5_60,1,1,54.8950907231759,11,NA
5_67,1,1,778.59881270432,1,1
5_71,2,1,0,2,NA
5_72,1,1,6072.36917381019,3,3929.42988728958
5_74,2,1,0,2,NA
5_79,2,1,361.22074016495,1,2
5_80,NA,0,NA,NA,NA
5_81,1,1,114.488205364285,10,NA
5_82,1,1,571.517498325251,10,NA
5_85,1,1,94.1409728373997,2,NA
5_87,1,1,969.666707694371,11,NA
5_90,1,1,124.462074270713,1,1
5_91,2,1,142.151298560484,11,NA
5_92,1,1,343.414982802007,1,3
5_94,1,1,195.24915726488,11,NA
5_95,1,1,713.497519720366,1,2
5_96,1,1,570.906013967602,1,7
5_97,1,1,54.8607580077627,1,2
5_98,1,1,26.7847374666667,10,NA
5_99,NA,0,NA,NA,NA
6_1,2,1,5496.83893354939,1,1
6_2,2,1,3043.81398328044,10,NA
6_3,2,1,3514.8625338053,11,NA
6_4,1,1,2116.18832332122,1,2
6_5,1,1,8314.3194747387,11,NA
6_6,1,1,1927.50456122903,3,54908.195580551
6_7,1,1,9848.34258198332,10,NA
6_8,2,1,2178.01442361397,10,NA
6_9,2,1,8247.39963786263,2,NA
6_10,2,1,3112.77801864183,11,NA
6_11,1,1,2465.9721540462,10,NA
6_12,1,1,476.982357856113,11,NA
6_13,2,1,1554.44265092319,10,NA
6_14,1,1,4570.63298725214,11,NA
6_16,1,1,4375.13150874562,11,NA
6_17,1,1,1771.32480677397,2,NA
6_18,1,1,6382.73978086945,10,NA
6_19,1,1,324.488079042614,2,NA
6_20,2,1,1353.32515288789,11,NA
6_21,1,1,831.425097288278,11,NA
6_22,2,1,2469.06780864565,2,NA
6_23,1,1,5046.69499199828,1,5
6_24,1,1,1964.40509015634,11,NA
6_25,2,1,1766.17048569949,11,NA
6_26,1,1,1319.59942752519,10,NA
6_27,1,1,348.370050861111,10,NA
6_28,1,1,79.0043371856481,10,NA
6_29,2,1,1000.94267721906,11,NA
6_30,1,1,434.093017927655,11,NA
6_31,2,1,787.29615754548,10,NA
6_32,2,1,3001.94498397389,10,NA
